jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc,,,,,,
California (CA),Fiduciaries,California Income Tax Return for Qualified Funeral Trusts ,541-QFT,https://www.ftb.ca.gov/forms/2017/17_541qft.pdf#,https://www.ftb.ca.gov/forms/2017/17_541qftins.pdf,,,Yes,Depends, ,California e-file Return Authorization for Fiduciaries , California e-file Signature Authorization for Fiduciaries , ,The QFT has an additional six months to file without filing a written request for extension.,Automatic,,,,
Colorado (CO),Fiduciaries,Fiduciary Income Tax Filing,105,http://www.zillionforms.com/2016/F512213499.PDF,https://www.colorado.gov/pacific/sites/default/files/105Book.pdf,,,Yes,,43207,15  day of the fourth month after the end of your tax year,43388,6 months,,,,,,
Connecticut (CT),Fiduciaries,"Income Tax Return for Trusts and Estates for Residents, nonresidents, and part-year residents",CT-1041,http://www.ct.gov/drs/lib/drs/forms/1-2016/trustandestates-1041/ct-1041.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/trustandestates/ct-1041_booklet_1217.pdf,,,yes,,43205,,43205,"5-1/2 months,  if a federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income, Information, and Other Returns, has been filed.",,,,,,
Delaware (DE),Fiduciaries,Fiduciary Income Tax Return,400,https://revenue.delaware.gov/services/current_pit/TY17_400e.pdf,https://revenue.delaware.gov/services/Developer/common_used_forms/400i.pdf,,,,,,,,,,,,,,
Georgia (GA),Fiduciaries,Fiduciary Income Tax Return,501,https://dor.georgia.gov/sites/dor.georgia.gov/files/related_files/document/TSD/Form/501_2017_Fiduciary_Income_Tax_Return.pdf,,,,,,,,,,,,,,,
Hawaii (HI),Fiduciaries,Fiduciary Income Tax Return,N-40,http://files.hawaii.gov/tax/forms/2017/n40_f.pdf,http://files.hawaii.gov/tax/forms/2017/n40ins.pdf,,,,,,,,,,,,,,
Idaho (ID),Fiduciaries,Fiduciary Income Tax Return,66,https://tax.idaho.gov/forms/EFO00036_07-10-2017.pdf,https://tax.idaho.gov/forms/EIN00046_10-30-2017.pdf,,,,,,,,,,,,,,
Illinois (IL),Fiduciaries,Fiduciary Income and Replacement Tax Return,IL-1041,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Fiduciary/IL-1041.pdf,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Fiduciary/IL-1041-Instr.pdf,,,,,43205,15th day of the 4rd month following fiscal year end,,AUTOMATIC,,,,,,
Indiana (IN),Fiduciaries,Fiduciary Income Tax Return,IT-41,,,,,,,,,,,,,,,,
Iowa (IA),Fiduciaries,Fiduciary Return,IA 1041,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1041%2863001%29.pdf,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1041Inst%2863002%29.pdf,,,,,,,,,,,,,,
Kansas (KS),Fiduciaries,Fiduciary Income Tax Return,K-41,https://www.ksrevenue.org/pdf/k-4117.pdf#search=FIDUCIARY,,,,,,,,,5 months,,,,,,
Kentucky (KY),Fiduciaries,Fiduciary Income Tax Return,741,https://revenue.ky.gov/Forms/2016_42A741.pdf,https://revenue.ky.gov/Software-Developer/Fiduciary%20Tax%20Forms/16_42A741(I).pdf,,,,,,,,6 months,,,,,,
Louisiana (LA),Fiduciaries,Fiduciary Income Tax Return,IT-541,http://revenue.louisiana.gov/TaxForms/IT541(1_17)F.pdf,http://revenue.louisiana.gov/TaxForms/IT541i(1_17).pdf,,,Y,,43235,15th day of the fifth month after the close of the fiscal period,43419,"6 months; Louisiana will recognize and accept the federal extension authorizing the same extended due date as the federal; IF NO FED EXT WAS FILED, FORM R-6466 NEEDS TO BE USED) link: http://revenue.louisiana.gov/VendorForms/6466(1_12).pdf",,,,,,
Maine (ME),Fiduciaries,Fiduciary Income Tax Return FOR RESIDENT AND NONRESIDENT ESTATES AND TRUSTS,1041ME,http://maine.gov/revenue/forms/fiduciary/2017/17_1041me.pdf,http://www.maine.gov/revenue/forms/fiduciary/2017/17_1041me_gen%20instructions.pdf,,,,,,,,,,,,,,
Maryland (MD),Fiduciaries,Fiduciary Income Tax Return,504,http://forms.marylandtaxes.gov/current_forms/504.pdf,http://forms.marylandtaxes.gov/current_forms/Fiduciary_Booklet.pdf,,,,,,,,,,,,,,
Massachusetts (MA),Fiduciaries,Fiduciary Income Tax Return,2,https://www.mass.gov/files/documents/2017/11/16/dor-2017-fido-form-2.pdf,,,,y,,,,,,,,,,,
Michigan (MI),Fiduciaries,Fiduciary Income Tax Return,MI-1041,http://files.hawaii.gov/tax/forms/2017/n40ins.pdf,http://www.michigan.gov/documents/taxes/MI1041_Book_609426_7.pdf,,,,,,,,,,,,,,
Mississippi (MS),Fiduciaries,Fiduciary Income Tax Return,81-110,https://www.dor.ms.gov/Forms/81110168.pdf,https://www.dor.ms.gov/Forms/81100168.pdf,,,,,,,,,,,,,,
Missouri (MO),Fiduciaries,Fiduciary Income Tax Return,MO-1041,http://dor.mo.gov/forms/MO-1041_2017.pdf,http://dor.mo.gov/forms/MO-1041_2017.pdf,,,,,,,,,,,,,,
Missouri (MO),Fiduciaries,Fiduciary Income Tax Return,MO-1041,http://dor.mo.gov/forms/MO-1041_2017.pdf,http://dor.mo.gov/forms/MO-1041_2017.pdf,,,Yes,,43207,15th day of the fourth month following the close of their taxable year,43205,"You are not required to file an extension if you do not expect to owe additional Missouri fiduciary tax or if you anticipate receiving a refund. If you wish to file a Missouri extension, and do not expect to owe Missouri fiduciary tax, you may file an extension by filing Form MO-60, Application 
for Extension of Time to File; 

If you receive an extension of time to file your federal fiduciary tax return, you will automatically be granted an extension of time to file your Missouri fiduciary tax return, provided you do not expect to owe any additional Missouri fiduciary tax. Attach a copy of your federal extension  (Federal Form 7004) with your Missouri fiduciary tax return when you file.",,,,,,
Alabama (AL),Fiduciaries,Fiduciary Income Tax Return,41,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f41.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f41instr.pdf,,,Yes,,43205,15th day of the 4th month following fiscal year end,43358,5 month ext,,,,,,
Montana (MT),Fiduciaries,Fiduciary Income Tax Return,FID-3,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=426,,,,,,,,,,,,,,,
Montana (MT),Fiduciaries,Fiduciary Income Tax Return,FID-3,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=808,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=808,,,Yes,,43207,15th day of the 4th month following the end of the tax year ,43205,"6 month - Beginning with tax year 2017, the estate or trust is granted an automatic extension of time to file of up to six months. 
",,,,,,
Nebraska (NE),Fiduciaries,Fiduciary Income Tax Return,1041N,http://www.revenue.nebraska.gov/tax/17forms/f_1041n.pdf,http://www.revenue.nebraska.gov/tax/17forms/f_1041n_booklet.pdf,,,,,,,,6 months,,,,,,
Nebraska (NE),Fiduciaries,Fiduciary Income Tax Return,1041N,http://www.revenue.nebraska.gov/tax/17forms/f_1041n.pdf,http://www.revenue.nebraska.gov/tax/17forms/f_1041n_booklet.pdf,,,,,,,,,,,,,,
Nevada (NV),Fiduciaries,null,null,null,null,,,null,null,null,null,null,null,,,,,,
Nevada (NV),,Commerce Tax return,NCTR,https://tax.nv.gov/uploadedFiles/taxnvgov/Content/Commerce/COM_Tax_Return.PDF,https://tax.nv.gov/uploadedFiles/taxnvgov/Content/Commerce/Commerce_Tax_Instructions.pdf,,,,,,,,,,,,,,
New Hampshire (NH),Fiduciaries,Business Profits Tax Return,NH-1041,https://www.revenue.nh.gov/forms/2018/documents/nh-1041-2017-print.pdf,https://www.revenue.nh.gov/forms/2018/documents/nh-1041-instructions-2017.pdf,,,,,,,,7 month - automatic,,,,,,
New Hampshire (NH),,Business Enterprise Tax Return,BET,https://www.revenue.nh.gov/forms/2018/documents/bet-2017-print.pdf,https://www.revenue.nh.gov/forms/2018/documents/bet-general-instructions-2017.pdf,,,,,43205,15th day of the fourth month following the close of the fiscal year end,,7 months,,,,,,
New Jersey (NJ),Fiduciaries,Gross Income Tax Fiduciary Return,NJ-1041,http://www.state.nj.us/treasury/taxation//pdf/current/1041.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/1041i.pdf,,,y,Depends,43205,15th day of the fourth month following the close of the tax year of the estate or trust,," 5½-month extension; extension is automatic  with Fed ext for zero returns and if amount due, at least 80% of it was paid off; (if no Fed ext is filed, then ext form NJ-630 needs to be filed to obtain an ext for both zero returns and for returns with payment due  satisfying the at least 80% requirement to be paid off - (see the return instructions for detail)",,,,,,
New Jersey (NJ),Fiduciaries,Gross Income Tax Fiduciary Return,NJ-1041,http://www.state.nj.us/treasury/taxation//pdf/current/1041.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/1041i.pdf,,,Y,Depends,43205,15th day of the fourth month following the close of the tax year of the estate or trust,,"5½ month extension is automatic  with Fed ext for zero returns (if no Fed ext is filed, then ext form NJ-630 needs to be filed to obtain an ext for a state zero return) However, returns with payment due need to file ext form NJ-630 and satisfy payment of 80% requirement - (see the return instructions for detail)",,,,,,
New Mexico (NM),Fiduciaries,,FID-1,,,,,,,,,,"If FED ext has been obtained, no need to submit ext form RPD-41096",,,,,,
New York (NY),Fiduciaries,Fiduciary Income Tax Return,IT-205,https://www.tax.ny.gov/pdf/current_forms/it/it205_fill_in.pdf,https://www.tax.ny.gov/pdf/current_forms/it/it205i.pdf,,,Y,,43207,15th day of the fourth month following the close of the tax year (SEE INSTRUCTIONS FOR ADD'L INFO),43373,5 1/2 month ext,,,,,,
New York (NY),Fiduciaries,Fiduciary Income Tax Return,IT-205,https://www.tax.ny.gov/pdf/current_forms/it/it205_fill_in.pdf,https://www.tax.ny.gov/pdf/current_forms/it/it205i.pdf,,,Y,,43207,16th day of the fourth month following the close of the tax year (SEE INSTRUCTIONS FOR ADD'L INFO),43373,5 1/2 month ext,,,,,,
North Carolina (NC),Fiduciaries,Estates and Trusts Income Tax Return,D-407,https://files.nc.gov/ncdor/documents/files/2016_d407_estates_and_trusts_income_tax_return_webfill_0.pdf?jkyK8Vih8sYINnfBTHLG2y2hmEYzN5R8,https://files.nc.gov/ncdor/documents/files/2016_d407a_instructions_for_estates_and_trusts_income_tax_return_0.pdf?bRJsf9zsF4hnjdDlO4DyA1pz8OACumQL,,,N,,43207,15th day of the fourth month following the end of the fiscal year,43388,6 MONTH EXT,,,,,,
North Carolina (NC),Fiduciaries,Estates and Trusts Income Tax Return,D-407,https://files.nc.gov/ncdor/documents/files/2016_d407_estates_and_trusts_income_tax_return_webfill_0.pdf?jkyK8Vih8sYINnfBTHLG2y2hmEYzN5R8,https://files.nc.gov/ncdor/documents/files/2016_d407a_instructions_for_estates_and_trusts_income_tax_return_0.pdf?bRJsf9zsF4hnjdDlO4DyA1pz8OACumQL,,,N,,43207,,43388,6 MONTH EXT,,,,,,
North Dakota (ND),Fiduciaries,,38,https://www.nd.gov/tax/data/upfiles/media/form-38.pdf?20180111102329,https://www.nd.gov/tax/data/upfiles/media/fiduciary-income-tax-booklet.pdf?20180111102423,,,,,43207,,42993,,,,,,,
North Dakota (ND),Fiduciaries,Fiduciary Income Tax Return,38,https://www.nd.gov/tax/data/upfiles/media/form-38.pdf?20180111102329,https://www.nd.gov/tax/data/upfiles/media/fiduciary-income-tax-booklet.pdf?20180111102423,,,,,43205,15th day of the 4th month following year end,42993,,,,,,,
Ohio (OH),Fiduciaries,Fiduciary Income Tax Return,IT-1041,https://www.tax.ohio.gov/Portals/0/forms/pass-through_entities/2017/PTE_IT1041.pdf,,,,,,,,,,,,,,,
Ohio (OH),Fiduciaries,Fiduciary Income Tax Return,IT-1041,https://www.tax.ohio.gov/portals/0/forms/pass-through_entities/2017/PTE_IT1041.pdf,https://www.tax.ohio.gov/portals/0/forms/pass-through_entities/2016/PTE_IT1041_Instructions.pdf,,,,,,,,,,,,,,
Oklahoma (OK),Fiduciaries,"Resident Fiduciary_x000D_
Return of Income",513,https://www.ok.gov/tax/documents/513Pkt-17.pdf,https://www.ok.gov/tax/documents/513Pkt-17.pdf,,,Y,,,,,,,,,,,
Oklahoma (OK),Fiduciaries,"Nonresident Fiduciary
Return of Income",513-NR,https://www.ok.gov/tax/documents/513NRpkt-17.pdf,https://www.ok.gov/tax/documents/513NRpkt-17.pdf,,,Y,,,,,,,,,,,
Oregon (OR),Fiduciaries,Fiduciary Income Tax Return,OR-41,http://www.oregon.gov/DOR/forms/FormsPubs/form-or-41_101-041_2017.pdf,,,,,,,,,,,,,,,
Pennsylvania (PA),Fiduciaries,Fiduciary Income Tax Return,PA-41,http://www.revenue.pa.gov/FormsandPublications/FormsforIndividuals/PIT/Documents/2016/2016_pa-41.pdf,https://www.tax-brackets.org/pennsylvaniataxforms/form-pa-41,,,Y,,43205,15th day of the fourth month following the close of the fiscal year,43373,,,,,,,
Rhode Island (RI),Fiduciaries,Fiduciary Income Tax Return,RI-1041,http://www.tax.ri.gov/forms/2017/Fiduciary/2017%20RI-1041_m.pdf,http://www.tax.ri.gov/forms/2017/Fiduciary/2017%201041%20Instructions.pdf,,,no,null,43205,15th day of the fourth month following the close of the taxable year,43205,"5 1/2  month - If no payment is required to be made with Form RI-8736 and the fiduciary is filing a Federal Form 7004 for the same period of time, the fiduciary does not need to submit Form RI-8736.",,,,,,
South Carolina (SC),Fiduciaries,FIDUCIARY INCOME TAX RETURN,SC1041,https://dor.sc.gov/forms-site/Forms/SC1041_2017.pdf,,,,,,,,43207,5 1/2 month,,,,,,
South Dakota (SD),Fiduciaries,null,null,null,null,,,null,null,null,null,null,null,,,,,,
Tennessee (TN),Fiduciaries,Individual Income Tax Return,INC 250,https://www.tn.gov/content/dam/tn/revenue/documents/forms/income/inc250_2017.pdf,instructions included with form,,,Yes,,43205,15 day of the fourth month following the fiscal year end,43205,Due date of the return,,,,,,
Utah (UT),Fiduciaries,Fiduciary Income Tax Return,TC-41,https://tax.utah.gov/forms/current/tc-41.pdf,https://tax.utah.gov/forms/current/tc-41inst.pdf,,,yes,null,43207,15th day of the fourth month after the fi scal year ends,43205,You automatically get an extension of up to six months to file your return. No extension form is required to be fi led. ,,,,,,
Vermont (VT),Fiduciaries,Fiduciary Return of Income,FIT-161,http://tax.vermont.gov/sites/tax/files/documents/FIT-161.pdf,http://tax.vermont.gov/sites/tax/files/documents/FIT-161%20Instr.pdf,,,Y,,43205,15th day of the fourth month following the close of the operating or income year,43205,5 1/2 month,,,,,,
Virginia (VA),Fiduciaries,Fiduciary Income Tax Return,770,https://www.tax.virginia.gov/sites/default/files/taxforms/individual-income-tax/2017/770-2017.pdf,https://www.tax.virginia.gov/sites/default/files/vatax-pdf/2017-form-770-instructions.pdf,,,Y,yes,43221, Fiscal year returns are due to no later than the 15th day of the 4th month following the close of the taxable year,43221,6 month site: https://www.tax.virginia.gov/sites/default/files/taxforms/individual-income-tax/2017/770ip-2017.pdf,,,,,,
Virginia (VA),Fiduciaries,Fiduciary Income Tax Return,770,https://www.tax.virginia.gov/sites/default/files/taxforms/individual-income-tax/2017/770-2017.pdf,https://www.tax.virginia.gov/sites/default/files/vatax-pdf/2017-form-770-instructions.pdf,,,Y,Depends,,,,,,,,,,
Washington DC (DC),Fiduciaries,Fiduciary Income Tax Return,D-41,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-41%20Booklet_11.8.16.pdf,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-41%20Booklet_11.8.16.pdf,,,y,,43207,15th day of the fourth month after the end of the fiscal year.,43207,6 months,,,,,,
West Virginia (WV),Fiduciaries,Fiduciary income tax for estates or trusts,IT-141,http://tax.wv.gov/Documents/TaxForms/2017/it141.pdf,http://tax.wv.gov/Documents/TaxForms/2017/it141.instructions.pdf,,,Yes,,43205,15th day of the fourth month following the close of the taxable year,43205,Any estate or trust granted an extension of time to file their federal return is granted the same extension of time to file their West Virginia return.,,,,,,
Wisconsin (WI),Fiduciaries,Fiduciary income tax for estates or trusts,2,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form2.pdf,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form2-inst.pdf,,,Yes,,43207,15th day of the 4th month after the close of the taxable year ,43205,"6 month - If you have an extension for filing your federal return, this automatically gives you a Wisconsin extension provided you",,,,,,
Wyoming (WY),Fiduciaries,null,null,null,null,,,null,null,null,null,null,null,,,,,,
Alabama (AL),Franchises,Alabama Business Privelege Tax Return and Annual Report,"CPT, PPT",https://revenue.alabama.gov/wp-content/uploads/2017/05/17fcptblk-1.pdf,https://revenue.alabama.gov/wp-content/uploads/2017/05/17fcptinstr.pdf,,,,,43174,15th day of the 3rd month following fiscal year end,43174,Due date of the return,,,,,,
Hawaii (HI),Franchises,,F-1,,,,,,,,,,,,,,,,
Iowa (IA),Franchises,Franchise Return for Financial Institutions,IA 1120F,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1120F%2843001%29.pdf,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1120Finst%2843008%29.pdf,,,,,,,,,,,,,,
Louisiana (LA),Franchises,Corporation Franchise Tax Initial Return,R-6906A (INITIAL YEAR),http://revenue.louisiana.gov/TaxForms/6906A(1_17)F%20Scripted.pdf,http://revenue.louisiana.gov/TaxForms/6906A(1_17)F%20Scripted.pdf,,,Y,,43235, 15th day of the fifth month following the close of the taxable year,43419,6 months,,,,,,
Louisiana (LA),Franchises,Corporation Franchise Tax Return,CIFT-620-SD (SUBSEQUENT YERS),https://www.pdffiller.com/jsfiller-desk/?projectId=153525988&expId=2933&expBranch=1#02fe32839c1a46058adbf5011fae4e2d,http://revenue.louisiana.gov/TaxForms/CIFT620i(1_17).pdf,,,Y,,43235, 15th day of the fifth month following the close of the taxable year,43419,6 months,,,,,,
Maine (ME),Franchises,MAINE FRANCHISE TAX RETURN,1120B-ME,http://www.maine.gov/revenue/forms/franchise/2017/17_1120B.pdf,http://www.maine.gov/revenue/forms/franchise/2017/17_1120B.pdf,,,,,,,,,,,,,,
New York (NY),Franchises,General Business Corporation Franchise Tax Return,CT-3,https://www.tax.ny.gov/pdf/current_forms/ct/ct3.pdf,https://www.tax.ny.gov/pdf/current_forms/ct/ct3i.pdf,,,Y,,43207,3½ months after the end of your reporting period,43388,6 month ext,,,,,,
Washington DC (DC),Franchises,Unincorporated Business Franchise Tax Return,D-30,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-30_Booklet_0.pdf,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-30_Booklet_0.pdf,,,,,,,,,,,,,,
Wisconsin (WI),Franchises,Nonresident Income or Franchise Tax Withholding on Pass-Through Entity Income,PW-1,https://www.revenue.wi.gov/TaxForms2017through2019/2017-FormPW-1.pdf,https://www.revenue.wi.gov/TaxForms2017through2019/2017-FormPW-1-Inst.pdf,,,,,,,,,,,,,,
Alabama (AL),Individual,Individual Income Tax Return (Residents & Part-Year Residents),40,https://revenue.alabama.gov/wp-content/uploads/2017/08/16f40blk.pdf,https://revenue.alabama.gov/wp-content/uploads/2017/08/16f40bk.pdf,,,Yes,Depends,43205,,43388, ,,,,,,
Alabama (AL),Individual,Individual Income Tax Return (Full Year Residents),40A,https://revenue.alabama.gov/wp-content/uploads/2017/08/16f40ablk.pdf,https://revenue.alabama.gov/wp-content/uploads/2017/08/16f40abk-1.pdf,,,,,43205,,43388,6 month ext,,,,,,
Alabama (AL),Individual,Nonresident Income Tax Return,40NR,https://revenue.alabama.gov/wp-content/uploads/2017/08/16f40nrblk.pdf,https://revenue.alabama.gov/wp-content/uploads/2017/08/16f40nrbk.pdf,,,,,43205,,43388,6 month ext,,,,,,
Arizona (AZ),Individual,Resident Personal Income Tax Return,140,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-F/FORMS_INDIVIDUAL_2017_140.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-I/FORMS_INDIVIDUAL_2017_140-i.pdf,,,,,43205,,43205,Due date of the return,,,,,,
Arizona (AZ),Individual,Resident Personal Income Tax Return (short form),140A,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-F/FORMS_INDIVIDUAL_2017_140A.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-I/FORMS_INDIVIDUAL_2017_140A-i.pdf,,,,,43205,,43205,Due date of the return,,,,,,
Arizona (AZ),Individual,Nonresident Personal Income Tax Return,140NR,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-F/FORMS_INDIVIDUAL_2017_140NR.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-I/FORMS_INDIVIDUAL_2017_140NR-i.pdf,,,,,43205,,43205,Due date of the return,,,,,,
Arizona (AZ),Individual,Part-Year Resident Personal Income Tax Return,140PY,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-F/FORMS_INDIVIDUAL_2017_140PY.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-I/FORMS_INDIVIDUAL_2017_140PY-i.pdf,,,,,43205,,43205,Due date of the return,,,,,,
Arizona (AZ),Individual,Individual Amended Return Form,140X,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-F/FORMS_INDIVIDUAL_2017_140X-f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/INDIV-I/FORMS_INDIVIDUAL_2017_140X-i.pdf,,,,,43205,,43205,Due date of the return,,,,,,
Arkansas (AR),Individual,INDIVIDUAL INCOME TAX RETURN - Full Year Resident,AR1000F,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1000FFullYearResidentIndIncTaxRet.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1000FandAR1000NRInstructions.pdf,,,,,43205,three and one-half (3 ½) months following the close of the income year ,43388,"One hundred and eighty (180) days (6 mos), extending the due date until October 15th",,,,,,
Arkansas (AR),Individual,INDIVIDUAL INCOME TAX RETURN - Nonresident and Part Year Resident,AR1000NR,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1000NRPartYearorNonResidentIITRet.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1000FandAR1000NRInstructions.pdf,,,,,43205,three and one-half (3 ½) months following the close of the income year ,43388,"One hundred and eighty (180) days (6 mos), extending the due date until October 15th",,,,,,
Arkansas (AR),Individual,INDIVIDUAL INCOME TAX RETURN - Full Year Resident/Short Form,AR1000S,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1000S_2014_RE.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1000SInstructions.pdf,,,,,43205,,43388,6 month extensiion is Automatic with Federal Extension,,,,,,
California (CA),Individual,Resident Income Tax Return,540,https://www.ftb.ca.gov/forms/2017/17_540.pdf#,https://www.ftb.ca.gov/forms/2016/16_540ins.pdf,,,Yes,Depends,8454,8879,,California e-file Return Authorization for Individuals ,,43205,null,43388,null,Automatic
California (CA),Individual,California Resident Income Tax Return ,540-2EZ,https://www.ftb.ca.gov/forms/2017/17_5402ezm.pdf#,https://www.ftb.ca.gov/forms/2017/17_5402ezins.pdf,,,Yes,Depends,8454,8879,,California e-file Return Authorization for Individuals ,,43205,null,43388,null,Automatic
California (CA),Individual,California Nonresident or Part-Year Resident Income Tax Return (Long) ,540-NR (Long),https://www.ftb.ca.gov/forms/2017/17_540nrlong.pdf,https://www.ftb.ca.gov/forms/2016/16_540nrlongins.pdf,,,Yes,Depends,8454,8879,,California e-file Return Authorization for Individuals ,,43205,null,43388,null,Automatic
California (CA),Individual,California Nonresident or Part-Year Resident Income Tax Return (Short) ,540-NR (Short),https://www.ftb.ca.gov/forms/2017/17_540nrshort.pdf,https://www.ftb.ca.gov/forms/2016/16_540nrshortins.pdf,,,Yes,Depends,8454,8879,,California e-file Return Authorization for Individuals ,,43205,null,43388,null,Automatic
Colorado (CO),Individual,"Individual Income Tax Return (Full Year, Part Year, and Non-Resident)",104,https://www.colorado.gov/pacific/sites/default/files/104Book.pdf,https://www.colorado.gov/pacific/sites/default/files/104Book.pdf,,,Yes,,43207,,43207,6-month extension,,,,,,
Colorado (CO),Individual,Individual Amended Return Form,104X,https://www.colorado.gov/pacific/sites/default/files/104X.pdf,https://www.colorado.gov/pacific/sites/default/files/104X.pdf,,,yes,,null,"The statute of limitations for filing a Colorado claim for refund is generally four years from the original due date of the return or three years from the date of last payment of tax for the year involved, whichever is later. ",null,null,,,,,,
Connecticut (CT),Individual,Resident Income Tax Return,CT-1040,http://www.ct.gov/drs/lib/drs/forms/1-2017/income/ct-1040_form_w_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/income/booklets/ct-1040_online_instruction_booklet_1217.pdf,,,Yes,,43207,15 day of the fourth month following the close of your taxable year.,43207,"6 months; zero returns are Automatic with Fed return; however, if payment is due, then form ct-1040 ext needs to be filed",,,,,,
Connecticut (CT),Individual,Non-resident/Part-Year Resident Tax Return,CT-1040NR/PY,http://www.ct.gov/drs/lib/drs/forms/1-2017/income/ct-1040nrpy_form_w_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/income/booklets/ct-1040nrpy_online_instruction_booklet_1217.pdf,,,yes,,43205,15 day of the fourth month following the close of your taxable year. ,43205,"6 months; zero returns are Automatic with Fed return; however, if payment is due, then form ct-1040 ext needs to be filed",,,,,,
Delaware (DE),Individual,Individual Non-Resident Income Tax Return,200-02 NR,https://revenue.delaware.gov/services/current_pit/TY17_200-02e.pdf,https://revenue.delaware.gov/services/current_pit/TY17_instructions_nr.pdf,,,,,43220, 30 day of the fourth month following the close of their taxable year,43220,6 months,,,,,,
Delaware (DE),Individual, INDIVIDUAL RESIDENT INCOME TAX RETURN ,200-01,https://revenue.delaware.gov/services/current_pit/TY17_200-01e.pdf,https://revenue.delaware.gov/services/current_pit/TY17_instructions_res.pdf,,,,,,,,,,,,,,
Georgia (GA),Individual,Individual income Tax Return ,500,https://dor.georgia.gov/sites/dor.georgia.gov/files/related_files/document/TSD/Form/500_2017_Individual_Income_Tax-Return.pdf,https://dor.georgia.gov/sites/dor.georgia.gov/files/related_files/document/TSD/Form/500_2017_Individual_Income_Tax-Return.pdf,,,Yes,Depends,43207,,,,,,,,,
Hawaii (HI),Individual,Individual Income Tax Return - Resident,N-11,http://files.hawaii.gov/tax/forms/2016/n11_b.pdf,http://files.hawaii.gov/tax/forms/2017/n11ins.pdf,,,Yes,,43210,,43210,,,,,,,
Hawaii (HI),Individual,Individual Income Tax Return - Nonresident and Part-Year Resident,N-15,http://files.hawaii.gov/tax/forms/2017/n15_i.pdf,http://files.hawaii.gov/tax/forms/2017/n15ins.pdf,,,,,,,,,,,,,,
Idaho (ID),Individual, Part-Year Resident & Nonresident Returns Only,43,https://tax.idaho.gov/forms/EFO00087_05-31-2017.pdf,,,,,,,,,,,,,,,
Idaho (ID),Individual,INDIVIDUAL INCOME TAX RETURN,40,https://tax.idaho.gov/forms/EFO00089_05-31-2017.pdf,https://tax.idaho.gov/forms/EIN00046_10-30-2017.pdf,,,,,,,,,,,,,,
Illinois (IL),Individual,Individual Income Tax Return,IL-1040,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Individual/IL-1040.pdf,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Individual/IL-1040-Instr.pdf,,,,,43205,,,AUTOMATIC,,,,,,
Indiana (IN),Individual,Individual Income Tax Return (full-Year Resident),IT-40,https://www.in.gov/dor/5695.htm,https://www.in.gov/dor/5695.htm,,,,,,,,,,,,,,
